time_s,commanded_velocity_mps,measured_velocity_mps
0.0100,0.0043,0.0000
0.0210,0.0090,0.0000
0.0316,0.0135,0.0000
0.0422,0.0181,0.0005
0.0528,0.0226,0.0004
0.0634,0.0272,0.0028
0.0740,0.0317,0.0020
0.0846,0.0363,0.0179
0.0953,0.0408,0.0125
0.1060,0.0454,0.0427
0.1166,0.0500,0.0299
0.1272,0.0545,0.0209
0.1378,0.0590,0.0147
0.1484,0.0636,0.1064
0.1590,0.0681,0.0745
0.1696,0.0726,0.1186
0.1802,0.0772,0.0830
0.1909,0.0818,0.1063
0.2015,0.0863,0.0744
0.2121,0.0909,0.0732
0.2227,0.0954,0.0512
0.2333,0.0999,0.0359
0.2439,0.1045,0.0251
0.2545,0.1090,0.0617
0.2651,0.1136,0.0432
0.2758,0.1182,0.0610
0.2864,0.1227,0.0427
0.2969,0.1272,0.0854
0.3075,0.1317,0.0598
0.3180,0.1363,0.1259
0.3286,0.1408,0.0881
0.3392,0.1453,0.0617
0.3497,0.1498,0.0432
0.3604,0.1544,0.1888
0.3709,0.1589,0.1322
0.3815,0.1634,0.2376
0.3921,0.1680,0.1663
0.4027,0.1725,0.2203
0.4133,0.1771,0.1542
0.4239,0.1816,0.2260
0.4346,0.1862,0.1582
0.4452,0.1907,0.2365
0.4558,0.1953,0.1656
0.4664,0.1998,0.2389
0.4770,0.2043,0.1673
0.4876,0.2089,0.2414
0.4982,0.2134,0.1690
0.5088,0.2180,0.2537
0.5194,0.2225,0.1776
0.5300,0.2271,0.2436
0.5406,0.2316,0.1705
0.5512,0.2361,0.2371
0.5618,0.2407,0.1660
0.5724,0.2452,0.2311
0.5830,0.2498,0.1618
0.5936,0.2543,0.2326
0.6042,0.2588,0.1628
0.6148,0.2634,0.2529
0.6254,0.2679,0.1770
0.6360,0.2725,0.2447
0.6467,0.2770,0.1713
0.6573,0.2816,0.2402
0.6679,0.2861,0.1681
0.6786,0.2907,0.2386
0.6892,0.2952,0.1670
0.6999,0.2998,0.2027
0.7105,0.3044,0.1419
0.7212,0.3089,0.0993
0.7318,0.3098,0.0695
0.7424,0.3098,0.3047
0.7530,0.3098,0.2133
0.7636,0.3098,0.2649
0.7742,0.3098,0.1854
0.7848,0.3098,0.2464
0.7955,0.3098,0.1725
0.8061,0.3098,0.1207
0.8167,0.3098,0.0845
0.8273,0.3098,0.3277
0.8379,0.3098,0.2294
0.8485,0.3098,0.2817
0.8591,0.3098,0.1972
0.8698,0.3098,0.2719
0.8804,0.3098,0.1904
0.8910,0.3098,0.2453
0.9016,0.3098,0.1717
0.9123,0.3098,0.1202
0.9229,0.3098,0.0841
0.9335,0.3098,0.2727
0.9441,0.3098,0.1909
0.9547,0.3098,0.2456
0.9653,0.3098,0.1719
0.9759,0.3098,0.2661
0.9865,0.3098,0.1863
0.9971,0.3098,0.2426
1.0076,0.3098,0.1698
1.0182,0.3098,0.2199
1.0288,0.3098,0.1539
1.0393,0.3098,0.2401
1.0499,0.3098,0.1681
1.0604,0.3098,0.2573
1.0710,0.3098,0.1801
1.0816,0.3098,0.2476
1.0923,0.3098,0.1733
1.1029,0.3098,0.2514
1.1135,0.3098,0.1760
1.1242,0.3098,0.1232
1.1348,0.3098,0.2166
1.1454,0.3098,0.1516
1.1560,0.3098,0.2498
1.1666,0.3098,0.1749
1.1772,0.3098,0.2325
1.1878,0.3098,0.1628
1.1984,0.3098,0.2823
1.2090,0.3098,0.1976
1.2196,0.3098,0.2537
1.2302,0.3098,0.1776
1.2408,0.3098,0.2558
1.2514,0.3098,0.1790
1.2620,0.3098,0.2385
1.2726,0.3098,0.1669
1.2832,0.3098,0.1371
1.2938,0.3098,0.0959
1.3044,0.3098,0.2927
1.3150,0.3098,0.2049
1.3256,0.3098,0.2640
1.3363,0.3098,0.1848
1.3468,0.3098,0.2511
1.3575,0.3098,0.1758
1.3681,0.3098,0.1230
1.3789,0.3098,0.0861
1.3895,0.3098,0.1117
1.4001,0.3098,0.0782
1.4107,0.3098,0.3451
1.4213,0.3098,0.2416
1.4319,0.3098,0.2883
1.4425,0.3098,0.2018
1.4532,0.3098,0.2654
1.4638,0.3098,0.1858
1.4744,0.3098,0.2547
1.4850,0.3098,0.1783
1.4956,0.3098,0.1799
1.5062,0.3098,0.1259
1.5168,0.3098,0.0934
1.5274,0.3098,0.0654
1.5380,0.3098,0.2959
1.5486,0.3098,0.2071
1.5592,0.3098,0.2669
1.5699,0.3098,0.1868
1.5805,0.3098,0.2524
1.5911,0.3098,0.1767
1.6017,0.3098,0.2577
1.6123,0.3098,0.1804
1.6229,0.3098,0.2425
1.6335,0.3098,0.1698
1.6441,0.3098,0.2483
1.6548,0.3098,0.1738
1.6654,0.3098,0.2974
1.6760,0.3098,0.2082
1.6866,0.3098,0.2642
1.6972,0.3098,0.1850
1.7079,0.3098,0.2460
1.7185,0.3057,0.1722
1.7292,0.2994,0.2400
1.7397,0.2932,0.1680
1.7504,0.2870,0.2226
1.7610,0.2807,0.1558
1.7717,0.2745,0.2292
1.7823,0.2683,0.1604
1.7929,0.2621,0.2508
1.8034,0.2559,0.1755
1.8140,0.2497,0.1229
1.8246,0.2434,0.2312
1.8352,0.2372,0.1618
1.8458,0.2310,0.2308
1.8564,0.2248,0.1616
1.8670,0.2186,0.1131
1.8776,0.2124,0.0792
1.8882,0.2061,0.0554
1.8988,0.1999,0.3316
1.9093,0.1937,0.2321
1.9199,0.1875,0.2796
1.9305,0.1813,0.1957
1.9411,0.1751,0.2005
1.9517,0.1689,0.1403
1.9622,0.1627,0.1049
1.9728,0.1565,0.0734
1.9834,0.1503,0.3160
1.9940,0.1440,0.2212
2.0047,0.1378,0.2721
2.0153,0.1316,0.1905
2.0259,0.1253,0.3041
2.0365,0.1191,0.2129
2.0471,0.1129,0.2574
2.0578,0.1066,0.1802
2.0684,0.1004,0.1889
2.0790,0.0942,0.1323
2.0896,0.0880,0.0979
2.1002,0.0817,0.0685
2.1108,0.0755,0.3098
2.1214,0.0693,0.2169
2.1320,0.0631,0.2921
2.1425,0.0569,0.2044
2.1531,0.0507,0.2698
2.1637,0.0445,0.1888
2.1743,0.0383,0.2539
2.1849,0.0321,0.1777
2.1955,0.0258,0.2486
2.2062,0.0196,0.1740
2.2168,0.0134,0.2464
2.2274,0.0071,0.1725
2.2380,0.0009,0.2506
2.2486,0.0000,0.1754
2.2592,0.0000,0.2503
2.2698,0.0000,0.1752
2.2804,0.0000,0.2351
2.2910,0.0000,0.1646
2.3016,0.0000,0.2460
2.3122,0.0000,0.1722
2.3227,0.0000,0.2470
2.3333,0.0000,0.1729
2.3439,0.0000,0.2344
2.3545,0.0000,0.1641
2.3651,0.0000,0.2408
2.3757,0.0000,0.1686
2.3863,0.0000,0.2414
2.3969,0.0000,0.1690
2.4075,0.0000,0.2385
2.4181,0.0000,0.1670
2.4287,0.0000,0.1784
2.4393,0.0000,0.1249
2.4500,0.0000,0.2687
2.4606,0.0000,0.1881
2.4711,0.0000,0.2585
2.4817,0.0000,0.1810
2.4924,0.0000,0.2694
2.5029,0.0000,0.1886
2.5135,0.0000,0.1320
2.5241,0.0000,0.0924
2.5348,0.0000,0.0647
2.5454,0.0000,0.0989
2.5560,0.0000,0.0693
2.5666,0.0000,0.3432
2.5772,0.0000,0.2402
2.5878,0.0000,0.2812
2.5984,0.0000,0.1969
2.6090,0.0000,0.2632
2.6196,0.0000,0.1842
2.6303,0.0000,0.2586
2.6409,0.0000,0.1810
2.6515,0.0000,0.1797
2.6621,0.0000,0.1258
2.6727,0.0000,0.2873
2.6833,0.0000,0.2011
2.6938,0.0000,0.2561
2.7044,0.0000,0.1792
2.7150,0.0000,0.2601
2.7256,0.0000,0.1821
2.7364,0.0000,0.2478
2.7471,0.0000,0.1735
2.7577,0.0000,0.2334
2.7683,0.0000,0.1634
2.7789,0.0000,0.1882
2.7895,0.0000,0.1317
2.8001,0.0000,0.1166
2.8107,0.0000,0.0816
2.8213,0.0000,0.0287
2.8319,0.0000,0.0201
2.8426,0.0000,-0.0442
2.8532,0.0000,-0.0310
2.8639,0.0000,-0.1101
2.8746,0.0000,-0.0770
2.8852,0.0000,-0.1526
2.8958,0.0000,-0.1068
2.9065,0.0000,-0.1580
2.9171,0.0000,-0.1106
2.9277,0.0000,-0.1418
2.9383,0.0000,-0.0993
2.9490,0.0000,-0.0837
2.9596,0.0000,-0.0586
2.9702,0.0000,-0.0072
2.9808,0.0000,-0.0050
2.9914,0.0000,0.0583
3.0020,0.0000,0.0408
3.0126,0.0000,0.0333
3.0232,0.0000,0.0233
3.0338,0.0000,0.0401
3.0444,0.0000,0.0281
3.0550,0.0000,0.1735
3.0656,0.0000,0.1214
3.0764,0.0000,0.1431
3.0871,0.0000,0.1001
3.0977,0.0000,0.0701
3.1083,0.0000,0.0491
3.1189,0.0000,0.0384
3.1295,0.0000,0.0269
3.1402,0.0000,0.0915
3.1508,0.0000,0.0641
3.1614,0.0000,0.0320
3.1720,0.0000,0.0224
3.1826,0.0000,-0.0548
3.1932,0.0000,-0.0383
3.2038,0.0000,-0.1113
3.2143,0.0000,-0.0779
3.2249,0.0000,-0.0912
3.2355,0.0000,-0.0638
3.2461,0.0000,-0.0485
3.2567,0.0000,-0.0340
3.2672,0.0000,-0.1817
3.2777,0.0000,-0.1272
3.2884,0.0000,-0.1149
3.2989,0.0000,-0.0804
3.3095,0.0000,-0.0644
3.3201,0.0000,-0.0451
3.3307,0.0000,-0.0316
3.3414,0.0000,-0.0221
3.3520,0.0000,-0.0104
3.3626,0.0000,-0.0073
3.3732,0.0000,0.0216
